CMMC_ID,Control,Score,AR_CAP_POAM,Policy_Statement,Azure_Mechanism,Azure_Configuration_Process,Azure_Evidence,AVD_Laptop,AVD_Laptop_Evidence,Evidence_Strings
3.4.1,Establish and maintain baseline configurations and inventories of organizational systems (including hardware| software| firmware| and documentation) throughout the respective system development life cycles.,5,0,,EntraID| InTune| M365; InTune| Azure AD| Defender for Endpoint,S7 configures new environments according to defined template configurations. S7 provides documentation of these initial configurations to the client. S7 tracks all deviations from baseline for each system and can produce an updated baseline on demand. Client is responsible for maintaining own baselines for non-managed hardware| software| etc. ; S7 configures new environments according to defined template configurations. S7 provides documentation of these initial configurations to the client. S7 tracks all deviations from baseline for each system and can produce an updated baseline on demand. Client is responsible for maintaining own baselines for internal hardware| software| etc. ; S7 configures new environments according to defined template configurations. S7 provides documentation of these initial configurations to the client. S7 maintains and updates these configurations according to template changes that occur weekly. Client is responsible for maintaining own baselines for internal hardware| software| etc. ; S7 maintains an inventory via reports from InTune| Azure AD| and Defender for Endpoint. Client is responsible for maintaining own inventory for all hardware and software not supported by S7.,,"Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 •Mission / business functions;
 •Operational environment;
 •Specific threats or vulnerabilities; or
 •Other conditions or situations that could affect mission / business success.; Mechanisms exist to review and update baseline configurations:
 •At least annually;
 •When required due to so; or
 •As part of system component installations and upgrades.; Mechanisms exist to document| assess risk and approve or deny deviations to standardized configurations.; Mechanisms exist to facilitate the implementation of configuration management controls.; Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations.",,
3.4.2,Establish and enforce security configuration settings for information technology products employed in organizational systems.,5,0,,M365,Summit 7 implements the M365 baseline configuration. This baseline is Proprietary Information. ; Summit 7 utilizes Intune policies to manage security configuration settings.,,"Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 •Mission / business functions;
 •Operational environment;
 •Specific threats or vulnerabilities; or
 •Other conditions or situations that could affect mission / business success.; Mechanisms exist to review and update baseline configurations:
 •At least annually;
 •When required due to so; or
 •As part of system component installations and upgrades.; Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports| protocols| and/or services. ; Mechanisms exist to document| assess risk and approve or deny deviations to standardized configurations.; Mechanisms exist to govern the technical configuration change control processes.; Mechanisms exist to prohibit unauthorized changes| unless organization-approved change requests are received.; Automated mechanisms exist to govern and report on baseline configurations of systems through Continuous Diagnostics and Mitigation (CDM)| or similar technologies.; Mechanisms exist to facilitate the implementation of a change management program.; Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations.",,
3.4.3,Track| review| approve or disapprove| and audit changes to organizational systems.,1,0,,ServiceNow; Sentinel| ServiceNow Tickets,S7 tracks changes via SNOW. S7 performs changes upon customer request. Change management is only conducted for changes that S7 implements on components that S7 manages.; Summit 7 maintains a log of all changes made via SNOW. Summit 7 utilizes Sentinel to identify changes that are made within the components which Summit 7 manages.,,Mechanisms exist to govern the technical configuration change control processes.; Mechanisms exist to analyze proposed changes for potential security impacts| prior to the implementation of the change.; Mechanisms exist to prohibit unauthorized changes| unless organization-approved change requests are received.; Mechanisms exist to conduct controlled maintenance activities throughout the lifecycle of the system| application or service.; Mechanisms exist to appropriately test and document proposed changes in a non-production environment before changes are implemented in a production environment.; Automated mechanisms exist to govern and report on baseline configurations of systems through Continuous Diagnostics and Mitigation (CDM)| or similar technologies.; Mechanisms exist to facilitate the implementation of a change management program.,,
3.4.4,Analyze the security impact of changes prior to implementation.,1,0,,N/A,Summit 7 includes security personnel in the S7 change management process.,,Mechanisms exist to analyze proposed changes for potential security impacts| prior to the implementation of the change.; Mechanisms exist to appropriately test and document proposed changes in a non-production environment before changes are implemented in a production environment.; Mechanisms exist to verify the functionality of cybersecurity and/or data privacy controls following implemented changes to ensure applicable controls operate as designed. ,,
3.4.5,Define| document| approve| and enforce physical and logical access restrictions associated with changes to organizational systems.,5,0,,RBAC Form| EntraID| PIM,Summit 7 will provide the customer the users| service accounts| roles/permissions| and device/system information necessary to enable Summit 7 support services. The customer must authorize their use.; Summit 7 utilizes AAD| RBAC| and Identity Governance (PIM) to enforce logical access restrictions to the system IAW documented definitions and approvals from the customer.,,Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to limit operational privileges for implementing changes.,,
3.4.6,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,5,0,,,Summit 7 does not directly define essential capbilities| but architects and engineers systems in such a fashion that non-essential sytsem capabilities| Programs| Functions| Ports| Protocols| ans Services are blocked| restricted| or prohibited for security purposes as a baseline. Any client request to vary from this baseline should be documented and receive business justification and risk acceptance from the client.,,"Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 •Mission / business functions;
 •Operational environment;
 •Specific threats or vulnerabilities; or
 •Other conditions or situations that could affect mission / business success.; Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports| protocols| and/or services. ; Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions| ports| protocols and services.; Mechanisms exist to configure systems utilized in high-risk areas with more restrictive baseline configurations.",,
3.4.7,Restrict| disable| or prevent the use of nonessential programs| functions| ports| protocols| and services.,5,0,,InTune,Summit 7 does not directly define essential capbilities| but architects and engineers systems in such a fashion that non-essential sytsem capabilities| Programs| Functions| Ports| Protocols| ans Services are blocked| restricted| or prohibited for security purposes as a baseline. Any client request to vary from this baseline should be documented and receive business justification and risk acceptance from the client.; Summit 7 utilizes Intune policies to restrict| disable| or prevent as defined any nonessential programs| functions| ports| protocols| and services| to the extent capabilities allow within the components that Summit 7 manages on behalf of the customer.,,,,
3.4.8,Apply deny-by-exception (blacklist) policy to prevent the use of unauthorized software or deny-all| permit-by-exception (whitelisting) policy to allow the execution of authorized software.,5,0,,InTune,"Summit 7 provides customers with a starter ""blacklist"". The customer is responsbile for maintaining the list and adding to it appropriately.; Summit 7 utilizes Intune to implement a ""starter"" blacklist in AppLocker. The customer is responsible for updating the list.",,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 •Mission / business functions;
 •Operational environment;
 •Specific threats or vulnerabilities; or
 •Other conditions or situations that could affect mission / business success.; Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports| protocols| and/or services. ; Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions| ports| protocols and services.; Mechanisms exist to explicitly allow (allowlist / whitelist) and/or block (denylist / blacklist) applications that are authorized to execute on systems.; Mechanisms exist to perform inventories of technology assets that:
 ▪ Accurately reflects the current systems| applications and services in use; 
 ▪ Identifies authorized software products| including business justification details;
 ▪ Is at the level of granularity deemed necessary for tracking and reporting;
 ▪ Includes organization-defined information deemed necessary to achieve effective property accountability; and
 ▪ Is available for review and audit by designated organizational personnel.; Mechanisms exist to regularly review technology assets for adherence to the organization's cybersecurity & data protection policies and standards. ",,
3.4.9,Control and monitor user-installed software.,1,0,,EntraID; EntraID| Kasaya,"Summit 7 will consult with the customer on the roles/permissions given to users to enable the proper management of software installation by users. Client is responsible for identifying appropriate roles within the organization to have access to software installation permissions.; Software installation is controlled based on permissions/privileges. Summit 7 provisions accounts and associated privileges in accordance with customer policy and authorization using AAD.; Summit 7 utilizes Intune and Kasaya RMM tool to monitor installation of software. If the system is configured (and backed by policy) to only allow software installation by administrators| this objective is MET| as ""users"" do not install software.",,,,
3.5.1,Identify system users| processes acting on behalf of users| and devices.,5,0,,EntraID| Defender,All GCC High systems are configured to not allow anonymous access by default. S7 configures systems to allow only individuals with a valid account access to the system. Client is responsible for informing S7 on what accounts need to be created and with what access.; All GCC High systems are configured to not allow anonymous access by default. S7 configures systems to allow only processes acting under an authorized account permission to run and access system resources. Client is responsible for informing S7 on what accounts need to be created and with what access.; All GCC High systems are configured to not allow anonymous access by default. S7 configures systems to allow only other systems to access the CUI environment when they are authorized. Client is responsible for informing S7 on what devices need to be authorized and permitted access.,,Mechanisms exist to strictly govern the use of Authenticate| Authorize and Audit (AAA) solutions| both on-premises and those hosted by an External Service Provider (ESP).; Mechanisms exist to force users and devices to re-authenticate according to organization-defined circumstances that necessitate re-authentication. ; Mechanisms exist to uniquely identify and centrally Authenticate| Authorize and Audit (AAA) organizational users and processes acting on behalf of organizational users. ,,
3.5.2,Authenticate (or verify) the identities of those users| processes| or devices| as a prerequisite to allowing access to organizational systems.,5,0,,EntraID| Conditional Access| Azure MFA; EntraID| Conditional Access,All GCC High systems are configured to not permit unauthenticated access by default. S7 will additionally configure EntraID| Conditional Access| Azure MFA to ensure that all users are properly authenticated before being granted access.; All GCC High systems are configured to not permit unauthenticated access by default. S7 will additionally configure EntraID| Conditional Access| Azure MFA to ensure that all services and service accounts are properly authenticated before being granted access.; All GCC High systems are configured to not permit unauthenticated access by default. S7 will additionally configure EntraID| Conditional Access to ensure that all devices being granted access are properly authenticated.,,Mechanisms exist to strictly govern the use of Authenticate| Authorize and Audit (AAA) solutions| both on-premises and those hosted by an External Service Provider (ESP).; Mechanisms exist to uniquely identify and centrally Authenticate| Authorize and Audit (AAA) devices before establishing a connection using bidirectional authentication that is cryptographically- based and replay resistant.,,
3.5.3,Implement multi-factor authentication for access to privileged and non-privileged accounts,5,0,,RBAC Form| EntraID; AAD| Conditional Access Policies| DUO| Azure MFA,Summit 7 can provide account information utilizing AAD for the accounts Summit 7 manages and for the accounts of Summit 7 staff. The customer is responsible for defining and identifying which accounts are privileged.; S7 configures systems to require MFA for all local and network access to all accounts. S7 requires DUO MFA internally from all employees before access to any S7 or client resources can occur.,,"Automated mechanisms exist to enforce Multi-Factor Authentication (MFA) for:
 •Remote network access; 
 •Third-party systems| applications and/or services; and/ or
 •Non-console access to critical systems or systems that store| transmit and/or process sensitive/regulated data.",,
3.5.4,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,1,0,,EntraID| Conditional Access| Azure MFA| DUO MFA.,Modern authentication systems are configured to enforce replay-resistant authentication by default. S7 additionally utilizes AAD| Conditional Access Policies| and Azure MFA. To ensure that sessions are authenticated securely before granting access.,,Automated mechanisms exist to employ replay-resistant authentication.,,
3.5.5,Prevent reuse of identifiers for a defined period.,1,0,,EntraID,By default| Azure prevents deleted identifiers from being re-used for a minimum of 30 days. S7 does not delete disabled accounts by default after this period. Client is responsible for informing S7 if another standard needs to be followed.; Default from Azure is 30 days. Any extension from this will require policy implementation/enforcement by the customer.,,Mechanisms exist to utilize a formal user registration and de-registration process that governs the assignment of access rights. ; Mechanisms exist to strictly govern the use of Authenticate| Authorize and Audit (AAA) solutions| both on-premises and those hosted by an External Service Provider (ESP).; Mechanisms exist to govern naming standards for usernames and systems.; Mechanisms exist to identify contractors and other third-party users through unique username characteristics. ,,
3.5.6,Disable identifiers after a defined period of inactivity.,1,0,,EntraID,This is a manual process. S7 recommends identifiers be disabled following 90 days of inactivity.,,,,
3.5.7,Enforce a minimum password complexity and change of characters when new passwords are created.,1,0,,EntraID,"S7 will configure environment to use default password complexity requirements. Client is responsible for notifying S7 if an alternative complexity scheme is preffered. Most organizations no longer put an emphasis on password changes| particularly requiring a minimum number of characters that must be changed when new passwords are created. However| this requirement is still assessed the same way. In order to ensure success| organizations are advised to define ""at least one character must be changed when new passwords are created."" within the password policy.; Summit 7 utilizes EntraID and Intune to enforce password complexity requirements.
*NOTE: Minimum character requirement is hard set to 8 characters in Azure (cannot be changed).; Use of EntraID inherently implements a character change requirement of ONE for new passwords. In order to be compliant with the native capabilities of EntraID| the customer must define minmum change of character requirements as ONE in policy (per objective [b])",,Mechanisms exist to strictly govern the use of Authenticate| Authorize and Audit (AAA) solutions| both on-premises and those hosted by an External Service Provider (ESP).; Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Automated mechanisms exist to determine if password authenticators are sufficiently strong enough to satisfy organization-defined password length and complexity requirements. ; Mechanisms exist to protect and store passwords via a password manager tool.; Mechanisms exist to enforce complexity| length and lifespan considerations to ensure strong criteria for password-based authentication.; Mechanisms exist to protect authenticators commensurate with the sensitivity of the information to which use of the authenticator permits access. ; Mechanisms exist to securely manage authenticators for users and devices.,,
3.5.8,Prohibit password reuse for a specified number of generations.,1,0,,EntraID,Summit 7 default configuration specifies 1 (ONE) as the number of generations during which a password cannot be reused. This cannot be changed for EntraID.; Summit 7 utilizes AAD in conjunction with MFA to disallow the use of the last previous password. This is set by default and cannot be changed.,,,,
3.5.9,Allow temporary password use for system logons with an immediate change to a permanent password.,1,0,,EntraID,Summit 7 creates accounts within AD/AAD using account creation procedures to include checking the box to require an immediate change to a permanent password when temporary passwords are used for system logon.,,,,
3.5.10,Store and transmit only cryptographically-protected passwords.,5,0,,EntraID,Passwords within the S7-managed environment are cryptographically protected in storage within EntraID and Key Vault.; Passwords are cryptographically protected in transit by EntraID and NTLMv2 password hash sync.,,,,
3.5.11,Obscure feedback of authentication information.,1,0,,EntraID,Authentication information is obscured natively via EntraID.,,Mechanisms exist to obscure the feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals. ,,
3.6.1,Establish an operational incident-handling capability for organizational systems that includes preparation| detection| analysis| containment| recovery| and user response activities.,5,0,"The organization shall establish, maintain, and resource an operational incident‑handling capability that covers preparation, detection, analysis, containment, recovery, and user response, in alignment with the NIST SP 800‑171 control 3.6.1 assessment objectives.
This capability shall define roles and responsibilities, provide detection/alerting and forensic tools, preserve and protect evidentiary data, and ensure timely internal escalation and external reporting consistent with contractual and regulatory obligations (e.g., contract specific requirements, mandatory reporting), with documented procedures and measurable SLAs.
The organization shall validate and sustain the capability through training, tabletop and technical exercises, periodic testing, and documented post‑incident reviews to drive continuous improvement and demonstrate auditability and integration with related security controls.",Policy control.,S7 will provide appropriate assistance for incidents that affect systems managed under the Guardian M365 agreement.,,Mechanisms exist to respond to sensitive information spills.; Mechanisms exist to implement and govern processes and documentation to facilitate an organization-wide response capability for cybersecurity & data privacy-related incidents.; Mechanisms exist to cover the preparation| automated detection or intake of incident reporting| analysis| containment| eradication and recovery.; Mechanisms exist to maintain and make available a current and viable Incident Response Plan (IRP) to all stakeholders.,,Evidence\IR\CSIR.pdf | Evidence\IR\CSITR.docx
3.6.2,Track| document| and report incidents to appropriate officials and/or authorities both internal and external to the organization.,5,0,"The organization shall establish, maintain, and enforce incident‑reporting procedures that ensure cybersecurity incidents are tracked, documented, and reported to designated internal officials and external authorities in accordance with the NIST SP 800‑171 3.6.2 assessment objectives. Procedures shall specify roles and authorities, required reporting timelines and content (including DFARS/DIB‑CS 72‑hour initial reporting for CUI), evidence preservation and retention, standardized reporting templates, and the use of a centralized tracking system to provide an auditable record. The organization shall validate and sustain reporting readiness through training, exercises, and periodic testing, and shall ensure timely updates to external filings as new information emerges; where operations occur offline, the reporting timeline begins upon organizational awareness and post‑deployment reporting and evidence ingestion are required.",Policy control.,S7 will provide appropriate assistance for incidents that affect systems managed under the Guardian M365 agreement.; Summit 7 will report incidents in accordance with agreed roles and reporting processes (typically the IT POC),,"Mechanisms exist to cover the preparation| automated detection or intake of incident reporting| analysis| containment| eradication and recovery.; Mechanisms exist to timely-report incidents to applicable:
 •Internal stakeholders; 
 •Affected clients & third-parties; and
 •Regulatory authorities.; Mechanisms exist to report sensitive/regulated data incidents in a timely manner.; Mechanisms exist to maintain incident response contacts with applicable regulatory and law enforcement agencies. ; Mechanisms exist to document| monitor and report the status of cybersecurity & data privacy incidents to internal stakeholders all the way through the resolution of the incident.; Mechanisms exist to provide incident response advice and assistance to users of systems for the handling and reporting of actual and potential cybersecurity & data privacy incidents. ",,Evidence\IR\S7SentinelLogging.jpg | Evidence\IR\IvantiTicketWorkflow.jpg | Evidence\IR\S7SLAs.pdf
3.6.3,Test the organizational incident response capability.,1,0,"The organization shall establish and maintain a formal incident‑response testing program that validates the effectiveness of its incident‑handling capability, personnel roles, communications, technical controls, and reporting procedures in accordance with NIST SP 800‑171 3.6.3 assessment objectives. The program shall require recurring discussion‑based exercises (at least annually) and periodic hands‑on/functional tests that exercise detection, analysis, containment, recovery, and external reporting (including DFARS/DIB‑CS workflows) using documented scenarios, success criteria, and an isolated test environment where appropriate. Each exercise must produce an after‑action report, a tracked corrective‑action plan with owners and deadlines, and documented plan updates and training to address identified gaps; evidence of exercises and remediation shall be retained to demonstrate auditability and continuous improvement. Testing cadence, acceptance criteria, and roles/authority for exercises shall be defined, enforced, and reviewed to ensure organizational readiness and compliance with contractual and regulatory obligations.",Policy control.,S7 will provide appropriate assistance for incidents that affect systems managed under the Guardian M365 agreement.,,Mechanisms exist to formally test incident response capabilities through realistic exercises to determine the operational effectiveness of those capabilities.,,Evidence\IR\MandiantTTX.pdf
3.7.1,Perform maintenance on organizational systems.24,3,0,,Kasaya VSA,Summit 7 utilizes  Kasaya VSA to perform system maintenance activities for the Summit 7-managed environment.,,,,
3.7.2,Provide controls on the tools| techniques| mechanisms| and personnel used to conduct system maintenance.,5,0,,RBAC Form| EntraID| S7 MSP tools; RBAC Form| EntraID| S7 KBA; RBAC Form| Entra ID| S7 scripts| scheduled tasks| other mechanisms.; RBAC Form,S7 configures permissions on client and S7 systems to be limited to the least minimum necessary to manage client's environment. S7 maintains the configuration of tools used| and ensures that they are kept up to date and otherwise maintained and properly configured.; S7 configures permissions on client and S7 systems to be limited to the least minimum necessary to manage client's environment. S7 maintains a knowledge base that describes approved maintenance techniques that S7 staff are required to follow. S7 keeps these knowledge base articles up to date and accurate.; S7 configures permissions on client and S7 systems to be limited to the least minimum necessary to manage client's environment. S7 maintains a variety of scripts| scheduled tasks| and other mechanisms used in maintaining client environments. S7 manages the configuration and security of these mechanisms| ensures they are kept up to date and functional| and that they are modified only by approved individuals.,,,,
3.7.3,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,1,0,,,,,,,
3.7.4,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,3,0,,InTune| Defender for Endpoint,S7 configures InTune and Defender for Endpoint to check all software and scripts before execution.,,Mechanisms exist to conduct controlled maintenance activities throughout the lifecycle of the system| application or service.; Mechanisms exist to control and monitor the use of system maintenance tools. ; Mechanisms exist to prevent or control the removal of equipment undergoing maintenance that containing organizational information.; Mechanisms exist to sanitize system media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal| release out of organizational control or release for reuse.,,
3.7.5,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,5,0,,Entra ID| Conditional Access| Azure MFA; Sentinel,S7 configures systems to require that all sessions require MFA by default.; S7 configures Sentinel to capture appropriate data to demonstrate that sessions are terminated when maintenance is complete.,,"Automated mechanisms exist to log out users| both locally on the network and for remote sessions| at the end of the session or after an organization-defined period of inactivity. ; Mechanisms exist to strictly govern the use of Authenticate| Authorize and Audit (AAA) solutions| both on-premises and those hosted by an External Service Provider (ESP).; Mechanisms exist to conduct controlled maintenance activities throughout the lifecycle of the system| application or service.; Automated mechanisms exist to enforce Multi-Factor Authentication (MFA) for:
 •Remote network access; 
 •Third-party systems| applications and/or services; and/ or
 •Non-console access to critical systems or systems that store| transmit and/or process sensitive/regulated data.; Automated mechanisms exist to employ replay-resistant authentication.; Mechanisms exist to authorize| monitor and control remote| non-local maintenance and diagnostic activities.; Cryptographic mechanisms exist to protect the integrity and confidentiality of remote| non-local maintenance and diagnostic communications. ; Mechanisms exist to provide remote disconnect verification to ensure remote| non-local maintenance and diagnostic sessions are properly terminated.",,
3.7.6,Supervise the maintenance activities of maintenance personnel without required access authorization.,1,0,,,Summit7 will ensure that all S7 managed systems are maintained by authorized personnel only| and that any otherwise-unauthorized personnel are supervised during their activities on all systems.,,Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to define cybersecurity responsibilities for all personnel. ; Mechanisms exist to maintain a current list of authorized maintenance organizations or personnel.; Mechanisms exist to ensure that non-escorted personnel performing non-IT maintenance activities in the physical proximity of IT systems have required access authorizations.; Mechanisms exist to ensure the risks associated with maintenance personnel who do not have appropriate access authorizations| clearances or formal access approvals are appropriately mitigated.; Mechanisms exist to require contractual requirements for cybersecurity & data privacy requirements with third-parties| reflecting the organization's needs to protect its systems| processes and data.; Mechanisms exist to document and maintain a Responsible| Accountable| Supportive| Consulted & Informed (RASCI) matrix| or similar documentation| to delineate assignment for cybersecurity & data privacy controls between internal stakeholders and External Service Providers (ESPs). ; Mechanisms exist to facilitate the implementation of third-party management controls.,,
3.8.1,Protect (i.e.| physically control and securely store) system media containing CUI| both paper and digital.,3,0,,InTune,Summit 7 prohibits printing and removable media by default via Intune configuration. S7 will configure devices according to client's needs and policy.,,"Physical access control mechanisms exist to authorize physical access to facilities based on the position or role of the individual.; Physical access control mechanisms exist to maintain a current list of personnel with authorized access to organizational facilities (except for those areas within the facility officially designated as publicly accessible).; Mechanisms exist to: 
 •Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
 •Protect system media until the media are destroyed or sanitized using approved equipment| techniques and procedures.; Mechanisms exist to control and restrict access to digital and non-digital media to authorized individuals. ; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.",,
3.8.2,Limit access to CUI on system media to authorized users.,3,0,,InTune,Summit 7 blocks the use of removable media by default. If the customer adds users to the group allowing the use of removable media| Summit 7 will assist in managing access to the group.,,Physical access control mechanisms exist to authorize physical access to facilities based on the position or role of the individual.; Physical access control mechanisms exist to maintain a current list of personnel with authorized access to organizational facilities (except for those areas within the facility officially designated as publicly accessible).; Mechanisms exist to define cybersecurity responsibilities for all personnel. ; Mechanisms exist to control and restrict access to digital and non-digital media to authorized individuals. ; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.,,
3.8.3,Sanitize or destroy system media containing CUI before disposal or release for reuse.,5,0,,,,,Mechanisms exist to sanitize system media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal| release out of organizational control or release for reuse.,,
3.8.4,Mark media with necessary CUI markings and distribution limitations.25,1,0,,MIP/UL,Summit 7 assists clients with the implemenation of MIP/UL| which can be used to properly mark printed documents.,,Mechanisms exist to mark media in accordance with data protection requirements so that personnel are alerted to distribution limitations| handling caveats and applicable security requirements. ,,
3.8.5,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,1,0,,,Informational: Summit 7 blocks the use of removable media by default. If the customer adds users to the group allowing the use of removable media| Summit 7 will assist in managing access to the group.,,Mechanisms exist to protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures.,,
3.8.6,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,1,0,,By default| S7 protects information by using MIP to label and encrypt data. This protection remains with the data if moved to digital media| which S7 disables the use of by default.,,,,,
3.8.7,Control the use of removable media on system components.,5,0,,InTune,By default| Summit 7 sets Intune policies to block the use of removeable media. S7 will work with client to implement alternate configurations if client identifies a need for so.,,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to restrict the use of types of digital media on systems or system components. ; Mechanisms exist to prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,,
3.8.8,Prohibit the use of portable storage devices when such devices have no identifiable owner.,3,0,,InTune,By default| Summit 7 sets Intune policies to block the use of removeable media. S7 will work with client to implement alternate configurations if client identifies a need for so.,,,,
3.8.9,Protect the confidentiality of backup CUI at storage locations.,1,0,,AvePoint| MS,S7 configures Azure to backup all information to AvePoint and Microsoft. Both providers provide FIS validated encryption on all backups.,,Cryptographic mechanisms exist to prevent the unauthorized disclosure and/or modification of backup information.,,
3.9.1,Screen individuals prior to authorizing access to organizational systems containing CUI.,3,0,"The organization shall screen all individuals prior to authorizing access to systems containing Controlled Unclassified Information (CUI), in alignment with NIST SP 800‑171 3.9.1 assessment objectives. Screening shall include criminal background checks, employment and education verification, reference checks, and additional assessments appropriate to security-critical positions as part of a structured hiring and onboarding process. Individuals must complete the screening process and receive approval before access to CUI systems is granted, with results securely stored and managed by authorized personnel in compliance with privacy regulations such as FCRA. Screening compliance shall be validated through regular reviews, ensuring all personnel meet the organization’s trustworthiness and suitability requirements for handling sensitive information. Screened individuals will have their access tied to established policies and procedures that reinforce security and personnel accountability.",None.,Summit 7 provides customers with evidence of training (including Insider Threat) and personnel screening. The customer is responsible for agreeing to the sufficiency of these records in alignment to the customer's training and personnel screening requirements and policies. ,,Mechanisms exist to manage personnel security risk by screening individuals prior to authorizing access.; Mechanisms exist to ensure that individuals accessing a system that stores| transmits or processes information requiring special protection satisfy organization-defined personnel screening criteria.,,Evidence\PS\2025 Building Information and Policy.pdf | Evidence\PS\Hire Right.jpg | Evidence\PS\IMS-POL-00003 Rev 1.docx | Evidence\PS\IMS-PRO-00109 Rev 2.docx | Evidence\PS\IMS-PRO-0106 Rev. 1.docx
3.9.2,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,5,0,"The organization shall ensure that systems containing Controlled Unclassified Information (CUI) are protected during and after personnel actions, such as terminations, transfers, and extended leaves, in alignment with NIST SP 800‑171 3.9.2 assessment objectives. For terminations, user access shall be disabled promptly, equipment recovered, and CUI systems safeguarded through account deactivation, group membership changes, and device sanitization using NIST-compliant procedures. Transfers shall follow a need-to-know principle, with CUI access reviewed and adjusted according to the employee’s new role or responsibilities. Extended leaves exceeding 90 days shall result in access suspension to reduce security risks associated with inactive accounts. A documented exit process, including reminders of confidentiality obligations and secure equipment handling, ensures post-employment protection, while all personnel actions are logged and audited to maintain compliance, accountability, and the confidentiality of CUI.",EntraID,S7 has a standard process in place for terminating accounts| or modifying permissions of accounts. Client is responsible for having a process in place for notifying S7 of terminations and transfers as they occur.,,Mechanisms exist to utilize a formal user registration and de-registration process that governs the assignment of access rights. ; Mechanisms exist to adjust logical and physical access authorizations to systems and facilities upon personnel reassignment or transfer| in a timely manner.; Mechanisms exist to govern the termination of individual employment.; Mechanisms exist to ensure that employees and third-party users return all organizational assets in their possession upon termination of employment| contract or agreement.; Mechanisms exist to retrieve organization-owned assets upon termination of an individual's employment.,,Evidence\PS\DisabledAccountsEntra.jpg | Evidence\PS\Security of Controlled Unclassified Information (CUI).docx | Evidence\PS\DNA-STD-00002.docx |Evidence\PS\Physical Access Control Policy for CUI and AWL Office Spaces.docx 
3.10.1,Limit physical access to organizational systems| equipment| and the respective operating environments to authorized individuals.,5,Audit Ready,,,,,Mechanisms exist to periodically-review the privileges assigned to individuals and service accounts to validate the need for such privileges and reassign or remove unnecessary privileges| as necessary.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ; Physical access control mechanisms exist to authorize physical access to facilities based on the position or role of the individual.; Physical access control mechanisms exist to maintain a current list of personnel with authorized access to organizational facilities (except for those areas within the facility officially designated as publicly accessible).; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.,,
